window_end,cagr,max_drawdown,sharpe
2021-10-25,0.086534,-0.176852,0.654817
2021-11-23,0.073016,-0.176852,0.567525
2021-12-23,0.08652,-0.176852,0.6404
2022-01-25,0.075202,-0.176852,0.563313
2022-02-24,0.087651,-0.176852,0.639505
2022-03-25,0.116652,-0.176852,0.799151
2022-04-26,0.108033,-0.176852,0.74123
2022-05-25,0.110844,-0.176852,0.749322
2022-06-27,0.074158,-0.176852,0.531086
2022-07-27,0.042989,-0.176852,0.342173
2022-08-25,0.028375,-0.176852,0.254798
2022-09-26,0.017366,-0.201741,0.187899
2022-10-25,0.031791,-0.201741,0.275461
2022-11-23,0.036373,-0.201741,0.303624
2022-12-23,0.01938,-0.213636,0.200047
2023-01-26,0.017258,-0.213636,0.187031
2023-02-27,0.006243,-0.215273,0.119319
2023-03-28,0.049287,-0.221512,0.390955
2023-04-27,0.06004,-0.221512,0.455267
2023-05-26,0.05264,-0.221512,0.410884
2023-06-28,0.041651,-0.221512,0.343814
2023-07-28,0.029413,-0.221512,0.266274
2023-08-28,0.002134,-0.221744,0.090893
2023-09-27,0.016231,-0.234768,0.182425
2023-10-26,0.00074,-0.253357,0.080551
2023-11-27,0.024713,-0.253357,0.239578
2023-12-27,0.029736,-0.253357,0.272643
2024-01-29,0.01411,-0.253357,0.169362
2024-02-28,0.01925,-0.253357,0.204949
2024-03-28,0.03088,-0.253357,0.290317
2024-04-29,0.000574,-0.253357,0.072819
2024-05-29,0.018836,-0.253357,0.206325
2024-06-28,0.025624,-0.253357,0.255457
2024-07-30,0.026532,-0.253357,0.263774
2024-08-28,0.042016,-0.253357,0.37562
2024-09-27,0.042792,-0.253357,0.381123
2024-10-28,0.038125,-0.253357,0.349116
2024-11-26,0.036134,-0.253357,0.333615
2024-12-27,0.041023,-0.253357,0.374291
2025-01-30,0.061377,-0.253357,0.522415
2025-03-03,0.039658,-0.253357,0.362889
2025-04-01,0.027245,-0.253357,0.27582
2025-05-01,0.019414,-0.243331,0.211476
2025-06-02,0.035381,-0.243331,0.328951
2025-07-02,0.059377,-0.177794,0.508016
2025-08-01,0.087839,-0.122918,0.723434
2025-09-02,0.103856,-0.122918,0.835003
2025-10-01,0.150815,-0.108687,1.173508
2025-10-30,0.156718,-0.108687,1.189283
2025-12-01,0.160152,-0.108687,1.18902
