date,100_pct_voo,95_5,90_10,80_20,70_30,100_pct_momentum,100_pct_vti
2012-04-12,115424.9287,114503.8583,113582.6868,111740.5233,109899.3940,97116.7972,115884.2444
2012-04-13,114043.5050,113188.1860,112331.8864,110616.8234,108899.2633,96882.8392,114469.0020
2012-04-16,113916.2439,113027.8823,112139.0557,110360.4874,108581.4899,96192.7366,114355.1814
2012-04-17,115661.2593,114738.0323,113814.6674,111968.0123,110122.2598,97304.4364,116095.7238
2012-04-18,115261.3642,114359.4713,113457.1490,111651.7029,109845.9892,97275.7206,115689.0454
2012-04-19,114516.1220,113621.6011,112726.6292,110935.8162,109144.6400,96672.9770,115022.1173
2012-04-20,114697.9135,113784.3241,112870.5610,111042.9989,109216.1859,96526.1252,115201.0755
2012-04-23,113716.3406,112846.2183,111975.3513,110231.8638,108486.8302,96304.8986,114208.7525
2012-04-24,114134.3919,113206.1645,112278.0372,110422.5683,108568.9455,95721.7822,114582.8938
2012-04-25,115733.9812,114788.1123,113842.4207,111952.0622,110063.8788,96984.9790,116274.6820
2012-04-26,116533.8069,115575.6312,114617.7292,112703.2418,110791.3239,97557.7306,117120.5286
2012-04-27,116770.1110,115820.5348,114871.0581,112972.9003,111076.6200,97933.5344,117397.0506
2012-04-30,116261.1197,115317.2967,114373.5463,112486.7581,110601.7338,97533.9456,116795.1969
2012-05-01,117024.5712,116020.2137,115016.8187,113013.4129,111015.3337,97255.2765,117543.4954
2012-05-02,116661.0326,115705.8194,114750.7696,112841.6607,110934.6957,97724.7578,117283.1984
2012-05-03,115806.6943,114867.8843,113929.0812,112051.9930,110176.4130,97168.0136,116258.4015
2012-05-04,113916.2439,113033.1299,112149.3627,110380.3589,108610.2030,96264.8232,114322.6285
2012-05-07,114007.1485,113121.9870,112236.1928,110463.1970,108689.1323,96318.7714,114403.9673
2012-05-08,113516.4019,112663.1835,111808.8944,110097.5918,108383.4595,96383.2435,113981.0322
2012-05-09,112880.1762,112056.1866,111230.7617,109576.0881,107917.1117,96261.3296,113297.8791
2012-05-10,113080.1414,112230.9189,111380.6087,109677.2117,107970.9139,96023.4080,113590.6420
2012-05-11,112716.5940,111910.2995,111102.3118,109481.7373,107855.8247,96402.5534,113281.6066
2012-05-14,111516.8998,110790.2754,110060.9493,108594.6557,107118.9429,96601.2452,111996.4811
2012-05-15,110898.8655,110208.8174,109515.6539,108120.4334,106714.1061,96633.4866,111394.6906
2012-05-16,110426.2396,109751.6757,109073.8521,107708.8716,106332.1888,96441.6236,110874.0966
2012-05-17,108753.9638,108163.1505,107568.2184,106366.4126,105149.3764,96273.4718,108954.6514
2012-05-18,107899.6432,107322.1302,106740.4354,105564.9085,104373.8787,95671.3370,108043.6989
2012-05-21,109717.3451,109107.1275,108492.9069,107252.8813,105998.1182,96873.4106,110044.4830
2012-05-22,109953.6581,109296.6760,108636.1941,107305.1753,105961.4904,96274.9797,110077.0438
2012-05-23,109953.6581,109320.9483,108684.4452,107400.4952,106102.6798,96702.5882,110272.2191
2012-05-24,110153.5790,109481.5080,108806.0818,107445.6157,106073.0832,96202.4091,110483.6985
2012-05-25,109899.1454,109248.1087,108593.4841,107273.9155,105941.3270,96322.5784,110223.4253
2012-05-29,111153.3612,110458.4322,109760.3115,108354.9575,106938.2229,96778.8872,111557.3129
2012-05-30,109553.7629,108995.3811,108432.2537,107292.1771,106134.3652,97603.6398,109800.5138
2012-05-31,109281.0846,108758.2640,108230.3567,107159.6778,106069.8448,97972.7055,109523.9839
2012-06-01,106609.0533,106221.8571,105828.5059,105023.6582,104195.1576,97790.3505,106709.8033
2012-06-04,106572.6879,106184.7714,105790.7084,104984.4627,104154.5991,97741.2992,106612.2236
2012-06-05,107190.7399,106743.3066,106290.1162,105366.8248,104421.5943,97253.8661,107425.5410
2012-06-06,109753.7016,109172.4007,108586.2509,107399.8521,106195.4029,97334.8418,109930.6623
2012-06-07,109735.5367,109148.5648,108556.8068,107359.3826,106144.1675,97215.8958,109800.5138
2012-06-08,110644.3788,110032.7880,109416.5857,108170.8105,106907.9834,97669.0982,110760.2206
2012-06-11,109299.2407,108728.3368,108152.5050,106986.4999,105802.1133,97072.0102,109214.8930
2012-06-12,110571.6923,109938.0458,109300.0081,108011.2365,106706.3326,97200.4661,110402.3597
2012-06-13,109844.5796,109259.7896,108670.1186,107476.5870,106264.8943,97351.5191,109589.0660
2012-06-14,111062.4300,110417.0556,109767.3302,108455.3122,107127.3498,97466.7732,110727.7230
2012-06-15,112044.0383,111387.4343,110726.5057,109392.1682,108042.0126,98230.6675,111866.3642
2012-06-18,112280.3512,111651.7221,111018.4109,109738.2233,108440.7524,98955.6834,112191.7196
2012-06-19,113425.4974,112725.5028,112021.5153,110602.0788,109168.2223,98813.5703,113379.1547
2012-06-20,113243.7236,112570.0188,111892.0130,110523.6052,109139.5134,99096.4503,113167.7069
2012-06-21,110753.4660,110162.9001,109567.3048,108361.4912,107136.9593,98120.2190,110613.8312
2012-06-22,111553.2386,110909.9919,110262.2031,108953.4933,107628.0991,97966.2968,111508.4875
2012-06-25,109780.8339,109222.9593,108659.7368,107517.6991,106355.6270,97737.3928,109687.1913
2012-06-26,110310.7193,109729.6808,109143.4797,107956.0545,106749.3771,97842.7773,110210.3788
2012-06-27,111297.4492,110683.0672,110063.7771,108810.9572,107539.9608,98216.0399,111273.0421
2012-06-28,111041.6244,110417.6838,109788.9693,108517.7070,107228.8176,97795.5828,111044.1752
2012-06-29,113800.7413,113073.1951,112341.7596,110867.7659,109379.8487,98664.9471,113954.3383
2012-07-02,114111.3888,113386.7849,112658.2173,111189.7359,109707.0323,99020.2843,114264.9868
2012-07-03,114860.5564,114088.8366,113313.6715,111753.5704,110181.3802,98930.5414,115196.8532
2012-07-05,114367.2313,113631.3729,112891.6417,111401.1126,109896.7451,99070.0870,114722.7679
2012-07-06,113307.3719,112637.0699,111962.1662,110599.0774,109219.1539,99176.1923,113643.6898
2012-07-09,113161.2458,112518.0531,111869.9501,110559.5240,109230.9909,99510.4586,113365.7603
2012-07-10,112119.6843,111529.9291,110934.7615,109728.6707,108502.3801,99435.0266,112352.1281
2012-07-11,112137.9379,111547.2745,110951.2065,109743.3389,108515.3042,99436.7337,112270.3622
2012-07-12,111553.2297,111010.2269,110461.3712,109346.5558,108209.6991,99713.0654,111828.9722
2012-07-13,113453.5777,112838.8904,112218.8678,110963.3178,109687.9334,100290.1004,113578.3151
2012-07-16,113197.8061,112604.2506,112005.1549,110790.8317,109555.8191,100415.0070,113300.4251
2012-07-17,114001.7522,113363.2512,112719.6041,111417.3871,110096.1357,100401.7487,114052.4715
2012-07-18,114824.0138,114163.9502,113498.8959,112154.3434,110791.4154,100825.5472,114869.9322
2012-07-19,115116.3635,114443.9794,113766.7158,112398.0853,111011.5441,100894.3197,115066.1116
2012-07-20,114056.5838,113453.0919,112844.0234,111609.6555,110354.4835,101071.0404,114019.7051
2012-07-23,112923.6923,112370.9383,111812.1825,110677.1345,109519.4926,100864.3356,112760.8623
2012-07-24,112028.3366,111520.1756,111005.6605,109958.0084,108886.2682,100786.4540,111747.1985
2012-07-25,111955.2337,111466.3225,110970.8868,109960.8692,108926.0439,101062.6336,111763.5738
2012-07-26,113782.4966,113216.2141,112643.9176,111481.7640,110297.0056,101453.8168,113463.8698
2012-07-27,115975.1943,115278.6452,114577.1728,113160.0230,111724.8764,101269.8536,115703.6890
2012-07-30,115920.3715,115252.2802,114578.9255,113216.9772,111835.6309,101716.1880,115589.2675
2012-07-31,115171.1951,114537.1677,113897.5635,112602.1560,111286.0399,101583.8629,114951.6426
2012-08-01,115043.2871,114392.0781,113735.4981,112406.7666,111058.1779,101153.7836,114493.8378
2012-08-02,114239.2879,113620.0547,112995.1733,111728.9882,110441.7820,100931.8721,113709.1436
2012-08-03,116468.5371,115727.5762,114982.0628,113477.9749,111957.4650,100953.4443,116014.3217
2012-08-06,116779.1492,116017.5022,115251.5317,113707.2264,112147.4438,100896.2511,116308.6423
2012-08-07,117309.0523,116488.1874,115663.7158,114004.5846,112332.9195,100384.2025,117011.6735
2012-08-08,117436.9780,116601.0732,115761.7579,114073.5339,112373.5774,100249.8850,117158.8220
2012-08-09,117564.8505,116715.3497,115862.6174,114148.1010,112422.5816,100140.9067,117256.8682
2012-08-10,117747.6078,116912.3220,116073.5726,114386.3221,112687.1299,100563.1656,117485.8141
2012-08-13,117656.2601,116817.2424,115974.8265,114280.4406,112574.3779,100409.7994,117387.7046
2012-08-14,117711.0563,116840.0513,115966.1023,114210.0233,112444.1141,99913.3910,117354.9856
2012-08-15,117838.9466,116924.1197,116006.9870,114166.4680,112318.7074,99288.6615,117616.5794
2012-08-16,118642.9635,117672.7230,116700.9324,114753.3795,112801.6499,99131.0045,118515.7900
2012-08-17,118917.0596,117943.9383,116969.2739,115015.9960,113058.5742,99349.2523,118744.6806
2012-08-20,118880.4815,117912.7168,116943.3258,115000.3445,113052.8846,99403.8912,118728.3290
2012-08-21,118515.0378,117566.7523,116616.5742,114711.2151,112800.2995,99376.5913,118483.0948
2012-08-22,118533.3180,117619.2258,116702.6856,114862.9307,113015.3825,99972.4496,118335.9305
2012-08-23,117601.4374,116733.1596,115861.8510,114110.7969,112349.5786,99843.1401,117453.0635
2012-08-24,118332.3248,117441.9034,116548.6824,114754.5058,112951.1156,100177.1777,118123.4311
